"Iteration","Total Kinetic Energy (integral of KE density) Monitor - Iteration: Total Kinetic Energy (integral of KE density) Monitor - Iteration (J)"
1.0,267.9985117993201
2.0,267.9955210904946
3.0,267.9946822179649
4.0,267.994918252642
5.0,267.9946137777507
6.0,267.99447216867634
7.0,267.99422705510375
8.0,267.9936787807654
9.0,267.9929561421278
10.0,267.99225355563783
11.0,267.9915794212085
12.0,267.9912348206984
13.0,267.99093820276323
14.0,267.9907555619405
15.0,267.99062897776025
16.0,267.99054599936727
17.0,267.990470394152
18.0,267.9904008859103
19.0,267.99033418051283
20.0,267.9902859353632
21.0,267.99024810438726
22.0,267.99022093442
23.0,267.99019794599826
24.0,267.990178771767
25.0,267.9901639335368
26.0,267.99015273036446
27.0,267.9901457454106
28.0,267.9901409778045
29.0,267.9901376040956
30.0,267.9769080915585
31.0,267.9762209365057
32.0,267.9762120522777
33.0,267.9765439034185
34.0,267.9765011425893
35.0,267.9761509681766
36.0,267.9759557477947
37.0,267.9760241513654
38.0,267.97623394338007
39.0,267.976647679767
40.0,267.97733810243386
41.0,267.97790768578955
42.0,267.97817829902215
43.0,267.97844114400726
44.0,267.9783368702675
45.0,267.9786449126017
46.0,267.9787217041678
47.0,267.978779709864
48.0,267.9788186585266
49.0,267.97884095634663
50.0,267.97885941732994
51.0,267.9788710527586
52.0,267.9788831336073
53.0,267.97888843066494
54.0,267.97889277283787
55.0,267.9788944809528
56.0,267.9710640383631
57.0,267.96929740974235
58.0,267.96887347448035
59.0,267.96862508343816
60.0,267.9685665342782
61.0,267.9686952145753
62.0,267.96878319501684
63.0,267.9687667014731
64.0,267.96869397674675
65.0,267.9686074930796
66.0,267.9683943798466
67.0,267.9682191937371
68.0,267.96812333510604
69.0,267.9680881565436
70.0,267.9680066932142
71.0,267.9679898116332
72.0,267.96796502310826
73.0,267.96794823353844
74.0,267.96793992548976
75.0,267.9679345908913
76.0,267.9679317212738
77.0,267.9679300128978
78.0,267.95940343490764
79.0,267.95756565786564
80.0,267.9571400416743
81.0,267.9570343453157
82.0,267.9570013288558
83.0,267.95698371704503
84.0,267.95697195757157
85.0,267.9569587172879
86.0,267.9569328997056
87.0,267.956922103353
88.0,267.9569155051402
89.0,267.9569114852609
90.0,267.95690941431974
91.0,267.9482504945214
92.0,267.94630855204844
93.0,267.9459182678122
94.0,267.9458304947039
95.0,267.94580094909384
96.0,267.9457848341974
97.0,267.9457727735313
98.0,267.94576918843984
99.0,267.9457668268203
100.0,267.9457639355976
101.0,267.936953926159
102.0,267.9350139401072
103.0,267.93462775978486
104.0,267.9345322003451
105.0,267.93449724938716
106.0,267.9344825826238
107.0,267.9344719569406
108.0,267.9344639810661
109.0,267.93446429536334
110.0,267.934463092207
111.0,267.9255214459035
112.0,267.9235590779521
113.0,267.9231600102381
114.0,267.9230642226
115.0,267.9230326451744
116.0,267.92301865289494
117.0,267.9230101309471
118.0,267.9230040751481
119.0,267.92300382982864
120.0,267.9230015185552
121.0,267.913928296065
122.0,267.91193971295274
123.0,267.91153168397034
124.0,267.91143793199103
125.0,267.9114110213376
126.0,267.911398974077
127.0,267.9113909787886
128.0,267.91138683031386
129.0,267.9113858190937
130.0,267.9113835319022
131.0,267.90218660198184
132.0,267.90016941645325
133.0,267.89975994424003
134.0,267.8996668174179
135.0,267.8996412866746
136.0,267.8996297728088
137.0,267.8996222739021
138.0,267.8996189036297
139.0,267.89961730889013
140.0,267.8996152995545
141.0,267.89029310106525
142.0,267.8882806957047
143.0,267.88784712583663
144.0,267.8877470442589
145.0,267.88772118340415
146.0,267.88771462724674
147.0,267.88771169229574
148.0,267.8877117605399
149.0,267.88771074142426
150.0,267.87828200078894
151.0,267.87624581702283
152.0,267.87580975427005
153.0,267.87570753142614
154.0,267.8756822116149
155.0,267.8756757984147
156.0,267.87567543446767
157.0,267.8756772417553
158.0,267.8756749160623
159.0,267.8661514486281
160.0,267.86407233226987
161.0,267.8636521928953
162.0,267.8635559638544
163.0,267.8635334994801
164.0,267.86352416641773
165.0,267.8635177946145
166.0,267.8635141288634
167.0,267.8635103495945
168.0,267.8538746728742
169.0,267.8517805886787
170.0,267.8513588215122
171.0,267.8512631455884
172.0,267.85124180862687
173.0,267.85123383572795
174.0,267.8512297955661
175.0,267.85122706734853
176.0,267.85122504581176
177.0,267.8414875990592
178.0,267.8393794439068
179.0,267.8389509044314
180.0,267.83885761004717
181.0,267.83883963616444
182.0,267.83883372741536
183.0,267.8388320905748
184.0,267.8388313047782
185.0,267.8388311935016
186.0,267.82900900850973
187.0,267.8268926507184
188.0,267.82646355928944
189.0,267.82636583851945
190.0,267.8263419346679
191.0,267.82633356982774
192.0,267.82633064666385
193.0,267.826329053358
194.0,267.8263262615418
195.0,267.816411042
196.0,267.81427923716683
197.0,267.81385194640956
198.0,267.8137534320383
199.0,267.81372766703066
200.0,267.8137184331001
201.0,267.8137153255816
202.0,267.8037082335003
203.0,267.79434207761307
204.0,267.78508452504474
205.0,267.7758288780982
